Device:  cuda
Train Epoch: 2 [2560/103818 (2%)]	Train Loss: 3.677897	Val Loss: 3.492886	Val Acc: 15.3125
Train Epoch: 2 [3840/103818 (4%)]	Train Loss: 3.293582	Val Loss: 3.484584	Val Acc: 15.78125
Train Epoch: 2 [5120/103818 (5%)]	Train Loss: 3.402639	Val Loss: 3.381526	Val Acc: 20.15625
Train Epoch: 2 [6400/103818 (6%)]	Train Loss: 3.295328	Val Loss: 3.358277	Val Acc: 20.78125
Train Epoch: 2 [7680/103818 (7%)]	Train Loss: 3.657421	Val Loss: 3.397992	Val Acc: 18.90625
Train Epoch: 2 [8960/103818 (9%)]	Train Loss: 3.319698	Val Loss: 3.360215	Val Acc: 16.71875
Train Epoch: 2 [10240/103818 (10%)]	Train Loss: 3.354230	Val Loss: 3.315997	Val Acc: 17.34375
Train Epoch: 2 [11520/103818 (11%)]	Train Loss: 3.586112	Val Loss: 3.265262	Val Acc: 22.03125
Train Epoch: 2 [12800/103818 (12%)]	Train Loss: 3.306915	Val Loss: 3.402483	Val Acc: 19.6875
Train Epoch: 2 [14080/103818 (14%)]	Train Loss: 3.531134	Val Loss: 3.333663	Val Acc: 19.21875
Train Epoch: 2 [15360/103818 (15%)]	Train Loss: 3.148669	Val Loss: 3.290328	Val Acc: 19.6875
Train Epoch: 2 [16640/103818 (16%)]	Train Loss: 3.477631	Val Loss: 3.242122	Val Acc: 20.0
Train Epoch: 2 [17920/103818 (17%)]	Train Loss: 3.383347	Val Loss: 3.374259	Val Acc: 19.21875
Train Epoch: 2 [19200/103818 (18%)]	Train Loss: 3.149600	Val Loss: 3.321001	Val Acc: 22.1875
Train Epoch: 2 [20480/103818 (20%)]	Train Loss: 3.161835	Val Loss: 3.287711	Val Acc: 23.28125
Train Epoch: 2 [21760/103818 (21%)]	Train Loss: 3.288080	Val Loss: 3.257515	Val Acc: 19.375
Train Epoch: 2 [23040/103818 (22%)]	Train Loss: 3.151450	Val Loss: 3.315777	Val Acc: 19.0625
Train Epoch: 2 [24320/103818 (23%)]	Train Loss: 3.429028	Val Loss: 3.235203	Val Acc: 21.09375
Train Epoch: 2 [25600/103818 (25%)]	Train Loss: 3.344057	Val Loss: 3.237421	Val Acc: 19.53125
Train Epoch: 2 [26880/103818 (26%)]	Train Loss: 3.298210	Val Loss: 3.299822	Val Acc: 20.46875
Train Epoch: 2 [28160/103818 (27%)]	Train Loss: 3.413504	Val Loss: 3.269480	Val Acc: 20.15625
Train Epoch: 2 [29440/103818 (28%)]	Train Loss: 3.188409	Val Loss: 3.294624	Val Acc: 20.15625
Train Epoch: 2 [30720/103818 (30%)]	Train Loss: 3.127431	Val Loss: 3.175514	Val Acc: 24.375
Train Epoch: 2 [32000/103818 (31%)]	Train Loss: 3.239497	Val Loss: 3.241486	Val Acc: 20.625
Train Epoch: 2 [33280/103818 (32%)]	Train Loss: 3.359635	Val Loss: 3.220432	Val Acc: 21.40625
Train Epoch: 2 [34560/103818 (33%)]	Train Loss: 2.861190	Val Loss: 3.323598	Val Acc: 21.25
Train Epoch: 2 [35840/103818 (34%)]	Train Loss: 3.318375	Val Loss: 3.321301	Val Acc: 19.375
Train Epoch: 2 [37120/103818 (36%)]	Train Loss: 3.332941	Val Loss: 3.157701	Val Acc: 23.59375
Train Epoch: 2 [38400/103818 (37%)]	Train Loss: 3.357553	Val Loss: 3.314331	Val Acc: 21.40625
Train Epoch: 2 [39680/103818 (38%)]	Train Loss: 3.204732	Val Loss: 3.195257	Val Acc: 23.4375
Train Epoch: 2 [40960/103818 (39%)]	Train Loss: 3.267661	Val Loss: 3.146613	Val Acc: 23.125
Train Epoch: 2 [42240/103818 (41%)]	Train Loss: 3.253688	Val Loss: 3.179538	Val Acc: 23.28125
Train Epoch: 2 [43520/103818 (42%)]	Train Loss: 3.428101	Val Loss: 3.123227	Val Acc: 24.375
Train Epoch: 2 [44800/103818 (43%)]	Train Loss: 3.085093	Val Loss: 3.121767	Val Acc: 23.28125
Train Epoch: 2 [46080/103818 (44%)]	Train Loss: 3.028895	Val Loss: 3.129122	Val Acc: 22.8125
Train Epoch: 2 [47360/103818 (46%)]	Train Loss: 3.220673	Val Loss: 3.198842	Val Acc: 21.25
Train Epoch: 2 [48640/103818 (47%)]	Train Loss: 3.146533	Val Loss: 3.278877	Val Acc: 22.03125
